143B PML BK TK	CRL-8304	
2.040  pRSV-T	CRL-11516	
22Rv1	CRL-2505	
293T/17	CRL-11268	
93T449	CRL-3043	
A388	CRL-7905	
AsPC-1	CRL-1682	
BeWo	CCL-98	
BJ	CRL-2522	
BxPC-3	CRL-1687	
C 211	CCL-123	
C3A	CRL-10741	
Caco-2	HTB-37	
Caki-1	HTB-46	
Caki-2	HTB-47	
Calu-1	HTB-54	
Calu-3	HTB-55	
Calu-6	HTB-56	
Caov-3	HTB-75	
Caov-4	HTB-76	
Capan-1	HTB-79	
Capan-2	HTB-80	
CCD 1105 KIDTr	CRL-2305	
CCD-1059Sk	CRL-2072	
CCD-1064Sk	CRL-2076	
CCD-1068Sk	CRL-2086	
CCD-1070Sk	CRL-2091	
CCD-1076Sk	CRL-2096	
CCD-1092Sk	CRL-2114	
CCD-1129SK	CRL-2575	
CCD-1139Sk	CRL-2708	
CCD-19Lu	CCL-210	
CCD-27Sk	CRL-1475	
CCD-32Sk	CRL-1489	
CCD-34Sk	CRL-1497	
CCD-39Sk	CRL-1501	
CCD-42Sk	CRL-1513	
CCD-944Sk	CRL-1836	
CCD-986Sk	CRL-1947	
CCL-191	CCL-191	
citrullinemia	CCL-76	
clone 1-5c-4	CCL-20.2	
Clone 15 HL-60	CRL-1964	
CO 88BV59-1	CRL-10624	
D283 Med	HTB-185	
Daoy	HTB-186	
Daudi	CCL-213	
Detroit 562	CCL-138	
DS-1	CRL-11102	
E.H. IV (Elaine IV)	CCL-104	
EA.hy926	CRL-2922	
EB	CRL-1365	
Ect1/E6E7	CRL-2614	
EML4-ALK Fusion-A549 Isogenic Cell Line Human	CCL-185IG	
Farage	CRL-2630	
Hep G2	HB-8065	
Het-1A	CRL-2692	
HK-2	CRL-2190	
HL-60/S4	CRL-3306	
HM2	HB-8587	
HMC3 Clone 3	CRL-3304	
Hs 578T	HTB-126	
Hs 683	HTB-138	
Hs 695T	HTB-137	
Hs 700T	HTB-147	
Hs 746T	HTB-135	
Hs 766T	HTB-134	
HS-Sultan	CRL-1484	
Hs27	CRL-1634	
Hs68	CRL-1635	
HT 297.T	CRL-7782	
HTB-85	HTB-85	
HULEC-5a	CRL-3244	
HuT 102	TIB-162	
HuT 78	TIB-161	
HUV-EC-C	CRL-1730	
intestine 407	CCL-6	
J.CaM1.6 (derivative mutant of Jurkat)	CRL-2063	
Jiyoye	CCL-87	
Kasumi-1	CRL-2724	
Kasumi-3	CRL-2725	
Kasumi-4	CRL-2726	
KG-1a	CCL-246.1	
KHOS/NP (R-970-5)	CRL-1544	
LL 24	CCL-151	
LS 180	CL-187	
Malme-3M	HTB-64	
MES-OV	CRL-3272	
MeWo	HTB-65	
N6/ADR	CRL-3274	
NALM6 clone G5	CRL-3273	
NCCIT	CRL-2073	
OAT1 HEK 293T/17	CRL-11268G-1	
ProPak-A.52 Clone #52	CRL-12479	
Raji	CCL-86	
Ramos.2G6.4C10	CRL-1923	
SC-1	CRL-8756	
sNF96.2	CRL-2884	
SW 1088	HTB-12	
SW 1271	CRL-2177	
SW 1353	HTB-94	
SW 156	CRL-2175	
SW 1783	HTB-13	
SW 1990	CRL-2172	
SW 626	HTB-78	
SW 684	HTB-91	
SW 780	CRL-2169	
SW 872	HTB-92	
SW 900	HTB-59	
SW 954	HTB-117	
SW 982	HTB-93	
Tau RD P301S FRET Biosensor	CRL-3275	
Tera-2	HTB-106	
TIB-202	TIB-202	
UACC-2727	CRL-3192	
WERI-Rb-1	HTB-169	
WI-38 VA-13 subline 2RA	CCL-75.1	
WiDr	CCL-218	
Y79	HTB-18	
