ROS	chemidplus	D017382000
Glycolysis	go	0006096
PPP	go	0006098
TCAKrebs	go	0006099
OXPHOS	go	0006119
Autophagy	go	0006914
Apoptosis	go	0006915
CellDeath	go	0008219
Proliferation	go	0008283
GrowthPS	go	0016049
CellCellCon	go	0044291
FocAd	go	0051894
DRsyn	go	0090592
Necroptosis	go	0097528
CellSurvival	go	15680329
DNAdsb	go	1990166
GSH	hmdb	HMDB00125
Lactate	hmdb	HMDB00190
NADPH	hmdb	HMDB00221
Ca	hmdb	HMDB00464
ATP	hmdb	HMDB00538
PIP3	hmdb	HMDB10147
Bach1	uniprot	O14867
PDK1	uniprot	O15530
ICMT	uniprot	O60725
MRN	uniprot	O60934
Chk2	uniprot	O96017
SOD	uniprot	P00441
EGFR	uniprot	P00533
Fos	uniprot	P01100
KRas	uniprot	P01116
EGF	uniprot	P01133
EGF	uniprot	P01133
EGF	uniprot	P01133
TGFb1	uniprot	P01137
TNFa	uniprot	P01375
IFNg	uniprot	P01579
Fibronectin	uniprot	P02751
Raf	uniprot	P04049
PDGF	uniprot	P04085
Wnt	uniprot	P04628
p53	uniprot	P04637
IGF1	uniprot	P05019
FGF1	uniprot	P05230
AP1	uniprot	P05412
Rb	uniprot	P06400
IGF1R	uniprot	P08069
RhoC	uniprot	P08134
GST	uniprot	P08263
Integrin	uniprot	P08648
HMGB1	uniprot	P09429
Trop2	uniprot	P09758
IL8	uniprot	P10145
Thioredoxin	uniprot	P10599
FGFR1	uniprot	P11362
Src	uniprot	P12931
IFNgR	uniprot	P15260
VEGF	uniprot	P15692
PDGFR	uniprot	P16234
PKCa	uniprot	P17252
VEGFR	uniprot	P17948
TNFaR	uniprot	P19438
NFkB	uniprot	P19838
JAK1	uniprot	P23458
ERK1	uniprot	P27361
Ref1	uniprot	P27695
AKT1	uniprot	P31749
Peroxiredoxin	uniprot	P32119
TGFbR	uniprot	P36897
p21	uniprot	P38936
p21	uniprot	P38936
STAT1	uniprot	P42224
PI3K	uniprot	P42336
mTOR	uniprot	P42345
JNK1	uniprot	P45983
TSC2	uniprot	P49815
PTEN	uniprot	P60484
RAC1	uniprot	P63000
PP2A	uniprot	P67775
ADAM17	uniprot	P78536
SMAD3	uniprot	P84022
MDM2	uniprot	Q00987
E2F	uniprot	Q01094
MEK1	uniprot	Q02750
BclXL	uniprot	Q07817
TRAF2	uniprot	Q12933
AMPK	uniprot	Q13131
ATM	uniprot	Q13315
cIAP-1	uniprot	Q13490
RIPK	uniprot	Q13546
LTBP	uniprot	Q14766
Cas8	uniprot	Q14790
RAGE	uniprot	Q15109
RPS6KA1	uniprot	Q15418
LKB1	uniprot	Q15831
Nrf2	uniprot	Q16236
p38MAPK	uniprot	Q16539
HIF1a	uniprot	Q16665
ATG4A	uniprot	Q8WYN0
TIGAR	uniprot	Q9NQ88
ExoCx	uniprot	Q9NV70
ASK	uniprot	Q9UBU7
DUSP13	uniprot	Q9UII6
NOx	uniprot	Q9Y5S8
IL2R	uniprot	A2N4P8
FOXP3	uniprot	B7ZLG1
MKK7	uniprot	O14733
TAK1	uniprot	O43318
CD25	uniprot	P01589
TCR	uniprot	P04234
CD28	uniprot	P10747
CD122	uniprot	P14784
CD132	uniprot	P31785
Mek2	uniprot	P36507
STAT5	uniprot	P42229
JAK3	uniprot	P52333
PTEN	uniprot	P60484
IL-2	uniprot	P60568
pS6	uniprot	P62753
SMAD3	uniprot	P84022
PKCTHETA	uniprot	Q04759
NFAT	uniprot	Q13469
RHEB	uniprot	Q15382
TSC	uniprot	Q99576
